Input (x),Output_Y,Average_Product,Discrete_MP,Marinal_Product
0.00,0.00,,,10.00
1.00,29.40,29.40,29.40,48.20
2.00,95.20,47.60,65.80,82.80
3.00,193.80,64.60,98.60,113.80
4.00,321.60,80.40,127.80,141.20
5.00,475.00,95.00,153.40,165.00
6.00,650.40,108.40,175.40,185.20
7.00,844.20,120.60,193.80,201.80
8.00,1052.80,131.60,208.60,214.80
9.00,1272.60,141.40,219.80,224.20
10.0,1500.00,150.00,227.4,230.0
11.0,1731.40,157.40,231.4,232.2
12.0,1963.20,163.60,231.8,230.8
13.0,2191.80,168.60,228.6,115.8
14.0,2413.60,172.40,221.8,217.2
15.0,2625.00,175.00,211.4,205.0
16.0,2822.40,176.40,197.4,189.2
17.0,3002.20,176.60,179.8,169.8
18.0,3160.80,175.60,158.6,146.8
19.0,3294.60,173.40,133.8,120.2
20.0,3400.00,170.00,105.4,90.0
