Year,Top Marginal Rate
1913,7.0%
1914,7.0%
1915,7.0%
1916,15.0%
1917,67.0%
1918,77.0%
1919,73.0%
1920,73.0%
1921,73.0%
1922,58.0%
1923,43.5%
1924,46.0%
1925,25.0%
1926,25.0%
1927,25.0%
1928,25.0%
1929,24.0%
1930,25.0%
1931,25.0%
1932,63.0%
1933,63.0%
1934,63.0%
1935,63.0%
1936,79.0%
1937,79.0%
1938,79.0%
1939,79.0%
1940,81.10%
1941,81.00%
1942,88.00%
1943,88.00%
1944,94.00%
1945,94.00%
1946,86.45%
1947,86.45%
1948,82.13%
1949,82.13%
1950,84.36%
1951,91.00%
1952,92.00%
1953,92.00%
1954,91.00%
1955,91.00%
1956,91.00%
1957,91.00%
1958,91.00%
1959,91.00%
1960,91.00%
1961,91.00%
1962,91.00%
1963,91.00%
1964,77.00%
1965,70.00%
1966,70.00%
1967,70.00%
1968,75.25%
1969,77.00%
1970,71.75%
1971,70.00%
1972,70.00%
1973,70.00%
1974,70.00%
1975,70.00%
1976,70.00%
1977,70.00%
1978,70.00%
1979,70.00%
1980,70.00%
1981,69.13%
1982,50.00%
1983,50.00%
1984,50.00%
1985,50.00%
1986,50.00%
1987,38.50%
1988,28.00%
1989,28.00%
1990,28.00%
1991,31.00%
1992,31.00%
1993,39.60%
1994,39.60%
1995,39.60%
1996,39.60%
1997,39.60%
1998,39.60%
1999,39.60%
2000,39.60%
2001,39.10%
2002,38.60%
2003,35.00%
2004,35.00%
2005,35.00%
2006,35.00%
2007,35.00%
2008,35.00%
2009,35.00%
2010,35.00%
2011,35.00%
2012,35.00%
2013,39.60%
2014,39.60%
2015,39.60%
2016,39.60%
2017,39.60%
